"extid","barcode"
"434872","5027876077016"
"434960","5027876077139"
"434971","5027876077092"
"434982","5027876077115"
"434993","5027876077177"
"435000","5027876077191"
"435242","5027876076699"
"435253","5027876076712"
"435286","5027876077436"
"435330","5027876077511"
"436085","5027876079232"
"437246","5027876081518"
"438287","5027876083338"
"438298","5027876083352"
"438308","5027876083376"
"441973","5021319003310"
"442233","5010599015786"
"442244","5010599015793"
"442903","5010438012204"
"444534","5050083388316"
"444754","5010017044589"
"445289","5010038048061"
"445960","5000435004692"
"447106","5410316990769"
"447557","5027876076057"
"447579","5027876076071"
"447601","5027876075999"
"448060","5011941609080"
"448082","5011941125153"
"448752","7613031930951"
"448763","7613031930975"
"448774","7613031930999"
"448785","7613031907557"
"448796","7613031907571"
"448817","7613031906963"
"448828","7613031930531"
"448839","7613031930517"
"448840","7613031930555"
"448851","7613031921737"
"448862","7613031921652"
"448873","7613031921676"
"448884","7613031921690"
"448895","7613031921713"
"448905","7613031931040"
"450023","5000433008289"
"450111","5023274045077"
"450418","7613031906987"
"450430","7613031908080"
"450539","5011524002529"
"450540","5011524002505"
"450562","5011524002567"
"450573","5011524002581"
"450892","5034660518136"
"450902","5034660518242"
"450991","5000158100718"
"451437","87170870"
"451448","87170887"
"451460","5010038048153"
"451691","5410316991254"
"452027","5011941608076"
"453002","5010017082215"
"453013","5014379082234"
"453046","5010017082185"
"453068","7613031947935"
"453486","5000393040060"
"453529","5000393039958"
"453541","5000393045447"
"454933","5027876077153"
"455260","5000143431124"
"455709","42155201"
"455864","5000208025282"
"455886","8410031942293"
"456069","50742233"
"456267","5000143240252"
"456322","5000143144031"
"456432","5000157068286"
"456443","5000157068309"
"456465","5000157068323"
"456959","7613031945672"
"456960","7613031945634"
"456971","7613031945658"
"456982","7613031945610"
"457440","5000171051141"
"457637","5000168148380"
"458393","5000435004609"
"459181","7613032035334"
"459192","7613032032661"
"459796","5012058010615"
"460060","5000433008968"
"460071","5000433009026"
"460158","5000433008425"
"460257","7798039590724"
"460268","7798039590731"
"460279","5021932013611"
"460312","5021932013550"
"460345","5021932013543"
"460356","5021932013598"
