"Category_Id2","Category_Name2","Description2","Category_ID1","CreatedBy","CreatedDateTime","ModifiedBy","ModifiedDateTime","Is_Deleted","Br_Code","BackColor","ForeColor"
"10078","LAUNDRY AIDS","","10020","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10079","CEREAL BARS","","10012","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10080","SNACK MULTI STD","","10013","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10081","LIQUIDS","","10020","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10082","CURRY&CHILLI","","10018","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10083","SQUASH&CORDIALS","","10001","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10084","WASHUP LIQUIDS","","10034","0001","18/06/2009 14:55:30","0001","18/06/2009 14:55:30","N","EH","",""
"10085","MULTI STD","","10013","0001","18/06/2009 14:55:30","0001","18/06/2009 14:55:30","N","EH","",""
"10086","BTL FRUIT JUICE","","10001","0001","18/06/2009 14:55:30","0001","18/06/2009 14:55:30","N","EH","",""
"10087","SAV BISCUITS","","10028","0001","18/06/2009 14:55:30","0001","18/06/2009 14:55:30","N","EH","",""
"10088","CIGARETTE PAPERS","","10035","0001","18/06/2009 14:55:30","0001","18/06/2009 14:55:30","N","EH","",""
"10089","BAGS","","10036","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10090","FRUIT SALAD","","10023","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10091","TUBES","","10013","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10092","SNACK SGL FAMILY","","10013","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10093","NESTLES/PEPSICO","","10012","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10094","PACKET CAT FOOD","","10015","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10095","PREMIUM DOG","","10015","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10096","DOGMEAL BISCUITS","","10015","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10097","FILLED BARS","","10036","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10098","SNACK SGL VALUE","","10013","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10099","ECONOMY DOG","","10015","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10100","JACOBS","","10028","0001","18/06/2009 14:55:31","0001","18/06/2009 14:55:31","N","EH","",""
"10101","LIQ CLEANERS","","10034","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10102","SGL STANDARD","","10013","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10103","FLOUR","","10037","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10104","BAKED BEANS","","10038","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10105","MIXERS","","10001","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10106","LOOSE TEA","","10021","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10107","NEW WORLD","","10008","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10108","NEW WORLD","","10007","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10109","NAPPIES","","10039","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10110","SHAVING","","10011","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10111","MISC CONFECT","","10040","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10112","BURTONS","","10028","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10113","SOUTH AFRICAN","","10007","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10114","SOUTH AFRICAN","","10008","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10115","MID DOG","","10015","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10116","ECONOMY CAT","","10015","0001","18/06/2009 14:55:32","0001","18/06/2009 14:55:32","N","EH","",""
"10117","PEARS","","10023","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10118","APRICOTS","","10023","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10119","LUXURY","","10041","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10120","TASTE SPREADS","","10042","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10121","SWEETCORN","","10043","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10122","BUTTER&SPREADABLES","","10042","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10123","SWEETS&PANCAKES","","10044","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10124","DESSERTS","","10045","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10125","COOKED MEATS","","10046","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10126","STANDARD","","10041","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10127","M/BALLS&GRILL","","10018","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10128","OLIVE OIL","","10030","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10129","MAYONNAISE","","10029","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10130","L/CAL MAYONNAISE","","10029","0001","18/06/2009 14:55:33","0001","18/06/2009 14:55:33","N","EH","",""
"10131","TUNA","","10027","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10132","TOMATOES","","10038","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10133","STILL WATER","","10001","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10134","FISH FINGERS&CAKES","","10047","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10135","READY MEALS","","10048","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10136","IMPULSE","","10049","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10137","BURGERS&STEAKS","","10050","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10138","OTHER VEG&RICE","","10043","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10139","READY MEALS","","10051","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10140","PIZZAS","","10052","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10141","SNACKS","","10053","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10142","DRINKING","","10041","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10143","DRINKS&JUICES","","10054","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10144","POULTRY PROCESSED","","10055","0001","18/06/2009 14:55:34","0001","18/06/2009 14:55:34","N","EH","",""
"10145","GRANULAR SUGAR","","10025","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10146","BOXES","","10009","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10147","GRAVY BROWNING","","10030","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10148","MISCELLANEOUS","","10030","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10149","ICE POPS","","10001","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10150","B/BEANS VAR","","10038","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10151","CUBES","","10025","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10152","F/TURE POLISH","","10034","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10153","SAUCES PASTA","","10030","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10154","STATIONERY","","10032","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10155","SOAP","","10011","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10156","CARPET C/NERS","","10034","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10157","SPARKLING WATER","","10001","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10158","TOMATO SAUCES","","10029","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10159","BLEACHES","","10034","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10160","LONG LIFE CAKES","","10056","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10161","NUTS","","10013","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10162","SWEETCORN","","10038","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10163","SEASONAL","","10032","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10164","TOILET PAPER 2PK","","10031","0001","18/06/2009 15:27:18","0001","18/06/2009 15:27:18","N","EH","",""
"10165","BROWN SAUCES","","10029","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10166","SEASONAL","","10010","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10167","ICING SUGAR","","10025","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
