"extid","qty","price"
"509682","1","5.12"
"510132","1","0.95"
"510143","1","0.95"
"510187","1","1.99"
"510198","1","1.99"
"510208","1","1.79"
"510220","1","1.79"
"510824","1","1.25"
"510835","1","1.25"
"510857","1","0.55"
"510868","1","0.56"
"510879","1","0.56"
"511568","1","3.69"
"511579","1","3.69"
"511580","1","3.69"
"511591","1","3.69"
"512938","1","0.79"
"553629","1","1.85"
"553751","1","1.09"
"554154","1","1.09"
"554253","1","0.69"
"554307","1","1.25"
"554428","1","1.85"
"554451","1","0.75"
"554604","1","0.79"
"554659","1","1.09"
"555007","1","1.39"
"556158","1","1.05"
"556202","1","1.25"
"556301","1","1.09"
"556509","1","0.75"
"559258","1","0.55"
"57473","1","0.69"
"57656","1","2.99"
"586553","1","6.55"
"58708","1","0.69"
"58898","1","0.89"
"58950C","1","1.15"
"58982","1","0.85"
"59153","1","1.99"
"59177","1","0.89"
"59212","1","0.69"
"59213","1","0.69"
"59214","1","0.69"
"59571","1","2.69"
"59718","1","1.31"
"59720","1","1.31"
"626600","1","1.05"
"638201","1","1.59"
"638256","1","1.09"
"638300","1","1.65"
"667852","1","0.79"
"704623","1","0.55"
"722010","1","15.99"
"732222","1","0.65"
"732925","1","0.55"
"733120","1","0.65"
"733328","1","0.65"
"739551","1","1.19"
"741459","1","1.09"
"750653","1","6.55"
"762814","1","4.49"
"779102","1","1.75"
"780102","1","1.49"
"792208","1","1.59"
"806750","1","1.59"
"810454","1","1.29"
"811857","1","0.99"
"824828","1","0.6"
"842303","1","0.65"
"882404","1","2.49"
"908458","1","0.65"
"908809","1","0.65"
"913654","1","0.65"
"929967","1","0.6"
"93125F","1","1.85"
"93253","1","0.89"
"93254","1","0.89"
"93256","1","0.89"
"93304","1","1.25"
"93392","1","1.39"
"93461","1","1.65"
"93518","1","1.49"
"940904","1","1.59"
"94510","1","1.99"
"94526","1","0.99"
"94538","1","0.99"
"95031","1","1.25"
"95033","1","1.25"
"95053","1","1.35"
"95296","1","3.29"
"95297","1","3.29"
"95298","1","2.29"
"95299","1","3.29"
"953854","1","0.59"
"95979","1","0.79"
"95980","1","0.79"
"96019","1","1.3"
"96478","1","1.25"
"96479","1","1.19"
"97464","1","1.39"
"97465","1","1.39"
"97657","1","2"
"97853","1","2.49"
"98000","1","1.35"
"98386","1","1.79"
"988308","1","1.99"
"000903","1","0.99"
"004242","1","1.25"
"004770","1","1.25"
"011398","1","0.49"
"031679","1","2.85"
